Counting,Rhyming,Adjective,Imagery,Intentional,Age_Group,ID
8.0,10.0,14.0,20.0,21.0,Young,
6.0,7.0,11.0,16.0,19.0,Young,
4.0,8.0,18.0,16.0,17.0,Young,
6.0,10.0,14.0,15.0,15.0,Young,
7.0,4.0,13.0,18.0,22.0,Young,
6.0,7.0,22.0,16.0,16.0,Young,
5.0,10.0,17.0,20.0,22.0,Young,
7.0,6.0,16.0,22.0,22.0,Young,
9.0,7.0,12.0,14.0,18.0,Young,
7.0,7.0,11.0,19.0,21.0,Young,
9.0,7.0,11.0,12.0,10.0,Old,0.0
8.0,9.0,13.0,11.0,19.0,Old,1.0
6.0,6.0,8.0,16.0,14.0,Old,2.0
8.0,6.0,6.0,11.0,5.0,Old,3.0
10.0,6.0,14.0,9.0,10.0,Old,4.0
4.0,11.0,11.0,23.0,11.0,Old,5.0
6.0,6.0,13.0,12.0,14.0,Old,6.0
5.0,3.0,13.0,10.0,15.0,Old,7.0
7.0,8.0,10.0,19.0,11.0,Old,8.0
7.0,7.0,11.0,11.0,11.0,Old,9.0
